# radius: 0.1
# speed: 0.05
# weight: 160.0
# yaw0: 0.0
# actual_time: 20.0
# completed: 1
# lin_err_mean: 0.013142797406524466
# yaw_err_mean: 0.027462605537345763
# final_pos_err: 0.07143484613227165
# final_yaw_err: 0.5357998313214747
lin_err,yaw_err
0.05,0.5
0.057768382522635324,0.49973702790334956
0.029906713466098963,0.31600601421086916
0.02325223395680621,0.22312460995010713
0.02016935848716152,0.1749667440748432
0.02101789320779335,0.14167251326377844
0.019919178256120065,0.1170308605102916
0.016339457534654343,0.11492065486332659
0.0165444741056818,0.11162213425668072
0.013558752976425094,0.10302931825807893
0.008743413232236815,0.10162514690838137
0.009698253549904206,0.09779163000493535
0.010608438831624881,0.09458601667329997
0.012319492211559377,0.08525838585666734
0.013152115955574964,0.07310019988167726
0.014312612438692661,0.06607367764588551
0.014114382954645833,0.05512245015883255
0.014144106904325883,0.04292345146328108
0.01659868658954456,0.03904935587584574
0.017418459449224787,0.031683787779898887
0.01979764072728319,0.03239167772641638
0.019554816725641955,0.031206314581106676
0.020509064231279833,0.029810794961135256
0.020843883634159552,0.027463906330402854
0.020884572729748262,0.028414238453342122
0.020497243262066114,0.02764297613446659
0.020148840153511243,0.025396616121720672
0.020151839887385073,0.024610559890093253
0.02090169026525656,0.023286311663936243
0.02177203754938249,0.020879572186741968
0.02184059222599183,0.020003086424260186
0.021384545601099085,0.020413856739034175
0.021323043650783042,0.020557694649222524
0.02130882598697917,0.020059947062652295
0.021259305354143904,0.019289499407007804
0.02116309523634524,0.017776783766704107
0.02095037520022298,0.01682122792204066
0.021108542846536075,0.015624412359419304
0.02168925724823468,0.013682927843658488
0.02197789168062507,0.01140529682792113
0.02131972555794002,0.0104540586867235
0.02005231586540983,0.011454039990679898
0.018311450124140663,0.01415854615298956
0.017215443490897174,0.017431733605416
0.01633334255080532,0.020108391308399476
0.015725442160412637,0.022136431528605116
0.015069287573436774,0.023388642570118356
0.014302660232769647,0.023869326930261447
0.013286965732596,0.023675421122384133
0.012341204082315508,0.024608039429836692
0.011656253787340897,0.025005257710164486
0.01091790980763347,0.02481400053981042
0.010377360348363718,0.024150879988613483
0.009778418816721932,0.023003174310221308
0.009176940496797995,0.02179254705445155
0.008800572101794416,0.02106227252521603
0.008530633170452268,0.02101717391192859
0.008414420253954983,0.02253485564308705
0.008609353547979853,0.02320977851002709
0.008868680258224057,0.02323134794515458
0.009133374402112494,0.022618412637327057
0.009309844351959681,0.02147353712242972
0.009345740258025807,0.01973818302109065
0.009115470841554315,0.01738699194419996
0.008867909017854487,0.015224091591553746
0.00824272625345603,0.015384626235490473
0.007876708353605372,0.017437017146389455
0.007850660665434486,0.019479789713270135
0.007812049688223966,0.020982301179817142
0.007695014220172057,0.02179237528987027
0.00753798353983931,0.021887462872141994
0.007356544391500515,0.02134677558308684
0.0071236472991414255,0.020132032530361832
0.006947968271530539,0.018416645852745883
0.007268709823291101,0.01806274723197493
0.0073301302266801874,0.020155488732518878
0.008218700301771863,0.024005756388984167
0.011268011939216312,0.02836110070312603
