radius,weight,vx_cmd,wz_cmd,yaw0,completed,lin_err_mean,yaw_err_mean,final_pos_err,final_yaw_err,file
0.5,320.0,0.25,0.5,0.0,1,0.0202560912710669,0.033647510777032014,0.23481022650486966,0.6523390562981,out/go2w_reg_ablation/20260209_193936/r0.5_w320_yaw0.000.csv
0.5,360.0,0.25,0.5,0.0,1,0.018611246068072684,0.030628819058843862,0.21498386651872195,0.5944034328864625,out/go2w_reg_ablation/20260209_193936/r0.5_w360_yaw0.000.csv
0.7,0.0,0.35,0.5,0.0,1,0.04460157720760732,0.09440149071228904,0.850843014100915,1.816530969842253,out/go2w_reg_ablation/20260209_193936/r0.7_w0_yaw0.000.csv
0.7,40.0,0.35,0.5,0.0,1,0.04554090520861959,0.10226741630703666,1.065043063660943,1.9495829370960092,out/go2w_reg_ablation/20260209_193936/r0.7_w40_yaw0.000.csv
0.7,80.0,0.35,0.5,0.0,1,0.0686373830796551,0.1248247479290277,1.3919864595108196,2.3988361403539677,out/go2w_reg_ablation/20260209_193936/r0.7_w80_yaw0.000.csv
0.7,120.0,0.35,0.5,0.0,1,0.07247270232453183,0.12748726040334865,1.4495962347160183,2.458784005634808,out/go2w_reg_ablation/20260209_193936/r0.7_w120_yaw0.000.csv
0.7,160.0,0.35,0.5,0.0,1,0.056712370338101496,0.08197114267147294,0.9631134812072406,1.5765533963547114,out/go2w_reg_ablation/20260209_193936/r0.7_w160_yaw0.000.csv
0.7,200.0,0.35,0.5,0.0,1,0.05381528789265665,0.08163650908745453,1.0041779296434403,1.5674370063059424,out/go2w_reg_ablation/20260209_193936/r0.7_w200_yaw0.000.csv
0.7,240.0,0.35,0.5,0.0,1,0.05072898123470274,0.07413292764798518,0.859685338261372,1.4230237757725934,out/go2w_reg_ablation/20260209_193936/r0.7_w240_yaw0.000.csv
0.7,280.0,0.35,0.5,0.0,1,0.043183708949805194,0.06018387512973364,0.7140032635992063,1.1586218183121026,out/go2w_reg_ablation/20260209_193936/r0.7_w280_yaw0.000.csv
0.7,320.0,0.35,0.5,0.0,1,0.03815153136816102,0.05165266614771534,0.5456158051905584,1.0009499980144518,out/go2w_reg_ablation/20260209_193936/r0.7_w320_yaw0.000.csv
0.7,360.0,0.35,0.5,0.0,1,0.03218735212958168,0.042413677614020984,0.4356525513956637,0.8174814781283697,out/go2w_reg_ablation/20260209_193936/r0.7_w360_yaw0.000.csv
0.9,0.0,0.4,0.4444444444444445,0.0,1,0.05079103369026248,0.09109646725096039,1.3965464893781534,1.7624873157097465,out/go2w_reg_ablation/20260209_193936/r0.9_w0_yaw0.000.csv
0.9,40.0,0.4,0.4444444444444445,0.0,1,0.045529993284320266,0.09015396978667495,1.4440527063077975,1.7522391291102242,out/go2w_reg_ablation/20260209_193936/r0.9_w40_yaw0.000.csv
0.9,80.0,0.4,0.4444444444444445,0.0,1,0.07816828812126271,0.14850465450137904,2.4166751490234057,2.864283409942373,out/go2w_reg_ablation/20260209_193936/r0.9_w80_yaw0.000.csv
0.9,120.0,0.4,0.4444444444444445,0.0,1,0.06154301530440015,0.10659153034493873,1.9721525124253232,2.0462651219497463,out/go2w_reg_ablation/20260209_193936/r0.9_w120_yaw0.000.csv
0.9,160.0,0.4,0.4444444444444445,0.0,1,0.053363724966396846,0.08670841615215319,1.6320080669991015,1.6663073237405035,out/go2w_reg_ablation/20260209_193936/r0.9_w160_yaw0.000.csv
0.9,200.0,0.4,0.4444444444444445,0.0,1,0.06989945683321047,0.10847127934635169,1.9430045350233462,2.0819489008548118,out/go2w_reg_ablation/20260209_193936/r0.9_w200_yaw0.000.csv
0.9,240.0,0.4,0.4444444444444445,0.0,1,0.055470720443891876,0.07567661059643481,1.2215900656944958,1.4531976968352538,out/go2w_reg_ablation/20260209_193936/r0.9_w240_yaw0.000.csv
0.9,280.0,0.4,0.4444444444444445,0.0,1,0.05153321985344605,0.06201846723270222,1.0226077182120978,1.2008734377004684,out/go2w_reg_ablation/20260209_193936/r0.9_w280_yaw0.000.csv
0.9,320.0,0.4,0.4444444444444445,0.0,1,0.0503197607436288,0.0567648238875005,0.9437486109488847,1.0973646653544558,out/go2w_reg_ablation/20260209_193936/r0.9_w320_yaw0.000.csv
0.9,360.0,0.4,0.4444444444444445,0.0,1,0.04935840248587891,0.05515123948458967,0.9011926672313159,1.0634327075422947,out/go2w_reg_ablation/20260209_193936/r0.9_w360_yaw0.000.csv
1.1,0.0,0.4,0.36363636363636365,0.0,1,0.047702538948811865,0.11153606447337251,2.850899113336988,2.190590180283083,out/go2w_reg_ablation/20260209_193936/r1.1_w0_yaw0.000.csv
1.1,40.0,0.4,0.36363636363636365,0.0,1,0.06044881247100932,0.11690855515087761,3.0525978824184454,2.270988993514809,out/go2w_reg_ablation/20260209_193936/r1.1_w40_yaw0.000.csv
1.1,80.0,0.4,0.36363636363636365,0.0,1,0.05536502397677811,0.091999083040511,2.5561621064867452,1.7837197058603662,out/go2w_reg_ablation/20260209_193936/r1.1_w80_yaw0.000.csv
1.1,120.0,0.4,0.36363636363636365,0.0,1,0.07019124859728001,0.12894401410797887,3.0488849981493695,2.4761505184811448,out/go2w_reg_ablation/20260209_193936/r1.1_w120_yaw0.000.csv
1.1,160.0,0.4,0.36363636363636365,0.0,1,0.05997896092172965,0.10156761423329073,2.7627214121862425,1.9478640343547617,out/go2w_reg_ablation/20260209_193936/r1.1_w160_yaw0.000.csv
1.1,200.0,0.4,0.36363636363636365,0.0,1,0.055193554760539346,0.08964798994869048,2.4614996069202726,1.7164658711911436,out/go2w_reg_ablation/20260209_193936/r1.1_w200_yaw0.000.csv
1.1,240.0,0.4,0.36363636363636365,0.0,1,0.05047516938707969,0.08179008196417624,2.4093539611946877,1.5706912480711699,out/go2w_reg_ablation/20260209_193936/r1.1_w240_yaw0.000.csv
1.1,280.0,0.4,0.36363636363636365,0.0,1,0.05010963664143404,0.07788004869470036,2.2441695540524753,1.5026755906448725,out/go2w_reg_ablation/20260209_193936/r1.1_w280_yaw0.000.csv
1.1,320.0,0.4,0.36363636363636365,0.0,1,0.0675625829519182,0.09889924260499487,2.4619204250246622,1.898460408645274,out/go2w_reg_ablation/20260209_193936/r1.1_w320_yaw0.000.csv
1.1,360.0,0.4,0.36363636363636365,0.0,1,0.04436108893933742,0.06795295622155538,1.9642267572016627,1.30630098729206,out/go2w_reg_ablation/20260209_193936/r1.1_w360_yaw0.000.csv
1.3,0.0,0.4,0.3076923076923077,0.0,1,0.041800374528163015,0.11039757073032029,3.790831711739418,2.171746579985733,out/go2w_reg_ablation/20260209_193936/r1.3_w0_yaw0.000.csv
1.3,40.0,0.4,0.3076923076923077,0.0,1,0.0629096092522731,0.12313609514567724,3.722677327907134,2.383739779482323,out/go2w_reg_ablation/20260209_193936/r1.3_w40_yaw0.000.csv
1.3,80.0,0.4,0.3076923076923077,0.0,1,0.06630310318087314,0.12752156835115183,3.5525989864216534,2.4611963952567915,out/go2w_reg_ablation/20260209_193936/r1.3_w80_yaw0.000.csv
