frame,t,base_x,base_y,base_z,v_world_cmd_x,v_world_cmd_y,v_world_cmd_yaw,state_cost,control_cost,foot_cost,state_cost_base_pos,state_cost_base_ori,state_cost_joint_pos,state_cost_base_linvel,state_cost_base_angvel,state_cost_joint_vel,centroidal_cost,centroidal_cost_lin,centroidal_cost_ang,centroidal_derivative_cost,soft_contact_vel_cost,soft_friction_cost,track_width_cost,foot_sum_cost,min_wheel_distance_cost,vector_glide_cost,joint_limit_soft_cost,hip_sum_cost,icr_axle_cost,contact_states,centroidal_derivative_res,soft_contact_vel_res,soft_friction_res,track_width_res,foot_sum_res,min_wheel_distance_res,vector_glide_res,joint_limit_soft_res,hip_sum_res,icr_axle_res
0,0,0.0,0.0,0.36856,1.9933362627015736,0.16312738518998823,0.8481060035446402,1206.3450588818343,1646.5884126634933,0.0,3.9999999999999973,1200.6600811295357,0.0,0.0,1.6849777522989,0.0,18.890168062953826,12.10761869893629,6.782549364017534,247.99088106807235,2.719892048074219,0.0,1.3205991632541434,0.0,4.8000957597797486e-05,797.0064983338348,0.0,0.010848390891519937,638.918491898912,<pinocchio.pinocchio_pywrap_default.StdVec_Bool object at 0x7c311d595fc0>,"[569.92532698 -94.8472001   88.78315013 -19.75119652 -26.97247638
  36.90913931]","[array([-0.02552175, -0.23511429]), array([-0.04119349, -0.10853118]), array([0.14998848, 0.00155126]), array([ 0.14104171, -0.15555345])]","[array([110.79655958,   0.        ]), array([176.61757908,  22.02465234]), array([0., 0.]), array([0., 0.])]",[0.00968571 0.01123774],,"[-0.026272490782467184, -0.016424840335331314]","[-0.1691250160720664, -0.07328111255443266, 0.1329703272874489, 0.14440238741122235]",,0.002365999999999993,"[2.0737687864467667, 2.6388550452747332]"
0,1,0.0,0.0,0.36856,1.9933362627015736,0.16312738518998823,0.8481060035446402,1317.2438179614257,1442.6332542516902,0.0,3.98053034309513,1192.805934791951,8.802065517321381,0.0,23.460094821409186,88.19519248764918,3.4097100660358057,1.7847701923635255,1.6249398736722802,139.60415778242856,9.532061803341129e-05,0.0,1.6080548598277906,0.0,0.007908694164285407,803.0885169214878,0.0,0.11409152197140632,639.0289559509838,<pinocchio.pinocchio_pywrap_default.StdVec_Bool object at 0x7c311d596050>,"[548.27819933 -71.97946346  92.83754777 -11.6214491  -20.5441506
  28.96413946]","[array([-3.38323489e-05,  2.41044169e-05]), array([ 0.0002468 , -0.00197703]), array([-0.00011743,  0.00087882]), array([ 4.94088519e-05, -7.87517204e-05])]","[array([107.58224084,   0.        ]), array([154.9483485 ,   8.47606591]), array([0., 0.]), array([0., 0.])]",[0.01145667 0.01169418],,"[-0.19268805116591947, 0.3479155044311595]","[-0.16280938778021137, -0.05829009746219468, 0.14847273258919794, 0.14529648494189892]",,-0.007672886330243031,"[2.073371511664327, 2.639536128769942]"
0,2,0.0,0.0,0.36856,1.9933362627015736,0.16312738518998823,0.8481060035446402,1243.7612809385075,1317.5394428058723,0.0,3.958026650301928,1125.4566182577605,22.361766194037475,0.0,44.02940983402742,47.95546000237994,1.1134523023898137,0.7285996080220675,0.38485269436774616,74.88227299819522,1.9273859302278947e-05,0.0,1.7407382551036417,0.0,0.01592923364332547,857.3648703942745,0.0,5.5346473812452315,638.9799876748698,<pinocchio.pinocchio_pywrap_default.StdVec_Bool object at 0x7c311d5960e0>,"[535.72488363   8.66250868  88.67744018   1.86602317 -12.75741658
  24.1368807 ]","[array([-8.58326723e-06,  8.08022023e-06]), array([ 2.66279935e-05, -2.29304663e-04]), array([-3.43013136e-05,  9.51819815e-04]), array([ 6.96341271e-06, -5.54823915e-05])]","[array([114.10008516,   0.        ]), array([135.78491246,   0.        ]), array([0., 0.]), array([0., 0.])]",[0.01170314 0.01237577],,"[-0.39935119082487613, 0.3988775491968215]","[-0.16333677696787413, -0.06092152150665379, 0.16429877335595264, 0.1435727930087923]",,0.05344130514412197,"[2.0729807864227974, 2.639679479308413]"
0,3,0.0,0.0,0.36856,1.9933362627015736,0.16312738518998823,0.8481060035446402,1137.2646924359806,1186.8904072825112,0.0,3.931971816603555,1080.5176142928872,30.26043674526393,0.0,13.277749079039872,9.27692050218625,0.37114202703095656,0.2791513879273783,0.09199063910357824,54.06951039478254,4.782844215853212e-05,0.0,1.7127929532702029,0.0,0.014245531260036852,850.5384534023776,0.0,16.929214981834463,638.9990512399214,<pinocchio.pinocchio_pywrap_default.StdVec_Bool object at 0x7c311d596170>,"[510.33303955  49.61907476  82.08406292   6.65370595  -9.48798568
  20.1594005 ]","[array([ 1.19949138e-05, -1.46728667e-07]), array([-3.84734895e-05,  1.01482166e-03]), array([2.99925841e-05, 1.15882953e-03]), array([ 2.36690351e-05, -1.24857315e-04])]","[array([113.28825876,   0.        ]), array([122.02503539,   0.        ]), array([0., 0.]), array([0., 0.])]",[0.01149644 0.01238133],,"[-0.37236707668334956, 0.3824308897082367]","[-0.16254489787061924, -0.06191966692781316, 0.1628094587877982, 0.1435783261477173]",,0.09346531793616092,"[2.073042835786449, 2.6396944111418756]"
0,4,0.0,0.0,0.36856,1.9933362627015736,0.16312738518998823,0.8481060035446402,1100.044937528778,1079.0103798395514,0.0,3.9017991837882966,1048.165808153527,34.51381166192507,0.0,6.715792577613896,6.7477259519236545,0.8480223012844051,0.06012254695015642,0.7878997543342487,38.830718423935814,0.0011786901967879675,0.0,1.6158806005865038,0.0,0.008679347846673305,817.4061197605886,0.0,27.381160055360223,639.0441417787514,<pinocchio.pinocchio_pywrap_default.StdVec_Bool object at 0x7c311d5964d0>,"[481.96006901  58.94454708  73.02431737   8.29942048  -6.96925489
  16.45771218]","[array([1.56726464e-05, 1.26569748e-05]), array([-3.28571581e-05,  4.17211397e-04]), array([-3.00346841e-05, -7.43935845e-03]), array([-3.00623797e-05,  1.84745748e-03])]","[array([106.39800237,   0.        ]), array([113.70253527,   0.        ]), array([0., 0.]), array([0., 0.])]",[0.01118467 0.01200903],,"[-0.2457082856652022, 0.3364734689227866]","[-0.16013416695212218, -0.06206651317917456, 0.15480714056783332, 0.14457497252971177]",,0.11886609611928103,"[2.0732701012015053, 2.639666496480649]"
0,5,0.0,0.0,0.36856,1.9933362627015736,0.16312738518998823,0.8481060035446402,1075.6382949853305,979.588050879638,0.0,3.8677605728117133,1019.9863190202872,37.503039418654474,0.0,5.809676200561621,8.471499773015541,2.909274703828601,0.9890561209028794,1.9202185829257217,28.40521592927486,0.0003365026549477996,0.0,1.4839618570327908,0.0,0.0033570441919827084,776.7366523915716,0.0,37.334855555654414,639.0767860108728,<pinocchio.pinocchio_pywrap_default.StdVec_Bool object at 0x7c311d596320>,"[453.45442935  63.85265589  62.35550463   8.82839888  -4.94492429
  13.47810284]","[array([-9.91018627e-05, -6.94359470e-04]), array([1.09289012e-06, 2.52026841e-04]), array([-4.84846938e-05, -1.63142241e-03]), array([7.04275848e-05, 3.68792732e-03])]","[array([98.67141403,  0.        ]), array([106.9398924,   0.       ]), array([0., 0.]), array([0., 0.])]",[0.01087799 0.01135765],,"[-0.057199403105204105, 0.2527233905361008]","[-0.15626018356421165, -0.06321951869186776, 0.1448526879397424, 0.14582961080372797]",,0.13879995180156077,"[2.07351766011411, 2.639581056364047]"
0,6,0.0,0.0,0.36856,1.9933362627015736,0.16312738518998823,0.8481060035446402,1056.631215257487,890.284406639134,0.0,3.8294704415645295,995.2806151561645,40.89323931313615,0.0,6.308931873381914,10.318958473239888,6.000182168156952,2.752064753501375,3.2481174146555767,21.135813126578455,0.0002290136943328047,0.0,1.3116192958105506,0.0,0.0019652963292891325,744.6590953896837,0.0,44.86435653222051,639.1196849067115,<pinocchio.pinocchio_pywrap_default.StdVec_Bool object at 0x7c311d596290>,"[427.64681482  70.2321414   51.61083996   8.51083184  -3.07683315
  11.37791591]","[array([5.39779968e-06, 8.82548828e-04]), array([-3.06220899e-05, -3.20637002e-04]), array([-5.44571816e-06,  2.36713886e-04]), array([ 6.21831465e-06, -3.24220844e-03])]","[array([91.67165942,  0.        ]), array([100.28894632,   0.        ]), array([0., 0.]), array([0., 0.])]",[0.01040638 0.01050288],,"[0.1464828627066419, 0.13359901765750282]","[-0.1526264641159164, -0.06366377574349656, 0.13496889938876633, 0.14892884403847462]",,0.15215379860040262,"[2.0738382520659426, 2.639472456323161]"
0,7,0.0,0.0,0.36856,1.9933362627015736,0.16312738518998823,0.8481060035446402,1039.8053081458565,811.4319132791692,0.0,3.787895167189281,975.033263595,45.331937361504345,0.0,5.559305887459877,10.092906134702773,9.494929994248677,4.825711479192987,4.66921851505569,15.903391176114571,1.8136618684270607e-05,0.0,1.1526183237163226,0.0,0.007294552860767391,712.7912834456381,0.0,49.63410572413062,639.1253894381397,<pinocchio.pinocchio_pywrap_default.StdVec_Bool object at 0x7c311d595cf0>,"[403.90030674  74.08125964  42.74325659   7.8803615   -1.36377552
   9.75058618]","[array([-2.74746009e-06,  9.09218259e-05]), array([1.37830833e-05, 2.10895836e-04]), array([ 1.34174357e-05, -6.74063688e-04]), array([-4.48553545e-06,  6.31923712e-04])]","[array([84.43818897,  0.        ]), array([93.8549608,  0.       ]), array([0., 0.]), array([0., 0.])]",[0.01006275 0.00953122],,"[0.38016786723964957, 0.03692492293565408]","[-0.14744393278341986, -0.064069530204706, 0.12662824171091192, 0.15154490788441582]",,0.16003765470259212,"[2.0740846970093387, 2.63929785803059]"
0,8,0.0,0.0,0.36856,1.9933362627015736,0.16312738518998823,0.8481060035446402,1026.2524485607382,741.7517013099173,0.0,3.7432577868001933,958.309534185149,50.14099140023167,0.0,5.1761775386256605,8.882487649931855,12.99509602003579,6.92386525553896,6.07123076449683,12.25948204345105,6.535361100519793e-05,0.0,1.003057644634092,0.0,0.021686053677008398,681.6497650482813,0.0,51.94740209963879,639.098229784486,<pinocchio.pinocchio_pywrap_default.StdVec_Bool object at 0x7c311d595d80>,"[3.81558283e+02 7.74441330e+01 3.50408404e+01 6.92947760e+00
 2.25905509e-01 8.63285163e+00]","[array([-2.67791158e-06, -1.65807102e-04]), array([8.82770714e-06, 7.65279379e-04]), array([ 3.74296654e-05, -1.84702640e-04]), array([-8.80880828e-06,  1.61828838e-03])]","[array([77.52855708,  0.        ]), array([87.37806456,  0.        ]), array([0., 0.]), array([0., 0.])]",[0.00979218 0.00844331],,"[0.656590938222517, -0.05108241756458609]","[-0.1413584284880531, -0.06464064169352639, 0.11906911930462348, 0.1538637698203932]",,0.16372462117478287,"[2.0742906567997057, 2.6390452748573203]"
0,9,0.0,0.0,0.36856,1.9933362627015736,0.16312738518998823,0.8481060035446402,1019.7967256256022,673.8287646773833,0.0,3.6960848191689517,948.7293868063252,53.09630399498788,0.0,5.609147143602022,8.665802861518099,15.767028715826388,8.533110603502358,7.23391811232403,9.451553615373646,4.4551572221418104e-05,0.0,0.844084796030227,0.0,0.05940866208969592,642.9617583561071,0.0,48.59570217864723,639.045053733075,<pinocchio.pinocchio_pywrap_default.StdVec_Bool object at 0x7c311d595e10>,"[358.35668828  77.39793682  27.14485051   5.72672108   1.06262091
   7.78402458]","[array([-1.80689597e-05,  3.92533675e-05]), array([0.00016205, 0.00124637]), array([-2.02143539e-05,  7.55431775e-04]), array([3.31202189e-05, 2.71723303e-04])]","[array([69.65042521,  0.        ]), array([81.33334494,  0.        ]), array([0., 0.]), array([0., 0.])]",[0.00957485 0.00700022],,"[1.0821587930610472, -0.13078833432143666]","[-0.13480466642366934, -0.06483919581909456, 0.10873343387399725, 0.1558626524463596]",,0.1583547184667356,"[2.0745218706978905, 2.6386858871119196]"
