# vmin: 357.231
# vmax: 1202.9351
# x_scale: 1.0
# y_scale: 1.0
# w0_scale: 1.424
# rhi_scale: 0.464
# top2_scale: 0.738
# smooth_k: 1
weight/radius,0.100,0.300,0.500,0.700,0.900,1.100,1.300,1.500,1.700,1.900
0%,3155.085800,1249.855242,868.429915,747.107412,918.719249,751.813030,945.256648,1161.316175,1348.161986,1340.577127
11%,970.675337,913.951677,740.361341,600.626657,653.448484,557.077334,684.622574,723.314213,744.950063,796.140351
22%,1020.353024,505.834244,915.756409,759.183774,1080.302821,453.460504,677.658990,711.552012,708.702827,735.528020
33%,283.122728,499.961520,635.038913,783.797969,824.912280,579.354141,620.886699,618.619770,662.563418,690.061863
44%,216.322844,357.463321,551.133500,510.881801,677.374573,492.312406,575.811826,615.389217,578.482612,618.737014
56%,225.233813,140.419208,489.338144,519.455321,825.554125,436.535302,580.095936,575.307604,566.729755,615.714864
67%,263.145734,140.965398,487.220670,458.748277,547.116804,415.208628,522.260360,556.559792,569.248561,590.833958
78%,268.501644,139.607808,201.913794,376.984618,454.958158,391.121610,461.321995,527.761328,527.713759,562.459127
89%,204.534490,100.000000,143.276313,227.360534,308.300507,337.022006,325.897258,371.981206,390.747050,373.161172
100%,212.591535,106.820740,130.814101,183.870532,296.632595,251.913821,308.954615,367.715010,368.708382,377.327397
