# vmin: 357.231,,,,,,,,,,
# vmax: 1202.9351,,,,,,,,,,
# x_scale: 1.0,,,,,,,,,,
# y_scale: 1.0,,,,,,,,,,
# w0_scale: 1.424,,,,,,,,,,
# rhi_scale: 0.464,,,,,,,,,,
# top2_scale: 0.738,,,,,,,,,,
# smooth_k: 1,,,,,,,,,,
weight/radius,0.1,0.3,0.5,0.7,0.9,1.1,1.3,1.5,1.7,1.9
0%,100,100,60.84208021,46.63979859,66.72906132,47.19064868,69.83558818,95.12799622,100,100
11%,72.81115636,66.17095876,45.85008853,29.49243612,35.67587649,24.39445566,39.32518469,43.85451387,46.38725452,52.37970331
22%,78.62653672,18.39582575,66.38222469,48.05348434,85.64439309,12.26483943,38.51001208,42.4776045,42.14407258,45.28428924
33%,1,17.70835163,33.52081122,50.93487667,55.74780922,27.00222815,31.86412162,31.59874988,36.7428909,39.96191994
44%,1,1.027196012,23.69865725,18.98670398,38.4767176,16.81292936,26.58755689,31.22057417,26.90020503,31.61247472
56%,1,1,16.46475565,19.99033927,55.82294502,10.2835377,27.08906432,26.52853155,25.52438949,31.25869513
67%,1,1,16.21687944,12.88383788,23.2284539,7.786989885,20.31870336,24.33387104,25.81924652,28.34608103
78%,1,1,1,3.31240239,12.44015814,4.967310067,13.18512303,20.96265889,20.95709036,25.0244603
89%,1,1,1,1,1,1,1,2.72669187,4.923463242,2.86482131
100%,1,1,1,1,1,1,1,2.227281492,2.343567825,3.352528861
