radius,weight,vx_cmd,wz_cmd,yaw0,completed,lin_err_mean,yaw_err_mean,final_pos_err,final_yaw_err,file
0.1,0.0,0.15000000000000002,1.5000000000000002,0.0,1,0.027119964022242617,0.06487506555252355,0.1092671007568022,1.2555358317269167,out/go2w_reg_ablation_5x5/r0.100_w0.0_yaw0.000.csv
0.1,100.0,0.15000000000000002,1.5000000000000002,0.0,1,0.027354739707417627,0.06619937559087441,0.14002478376038513,1.2832926367288273,out/go2w_reg_ablation_5x5/r0.100_w100.0_yaw0.000.csv
0.1,200.0,0.15000000000000002,1.5000000000000002,0.0,1,0.027318985616806353,0.06633327055590346,0.15565481763406516,1.2875805168268641,out/go2w_reg_ablation_5x5/r0.100_w200.0_yaw0.000.csv
0.1,300.0,0.15000000000000002,1.5000000000000002,0.0,1,0.0271541709337147,0.06581209496046224,0.1261611831765053,1.2794184319565325,out/go2w_reg_ablation_5x5/r0.100_w300.0_yaw0.000.csv
0.1,400.0,0.15000000000000002,1.5000000000000002,0.0,1,0.0271381035537327,0.06720899300225311,0.1315896788005132,1.306846989745079,out/go2w_reg_ablation_5x5/r0.100_w400.0_yaw0.000.csv
0.575,0.0,0.4,0.6956521739130436,0.0,1,0.04383874518306977,0.09580255708922471,1.01838985268628,1.8503944995174617,out/go2w_reg_ablation_5x5/r0.575_w0.0_yaw0.000.csv
0.575,100.0,0.4,0.6956521739130436,0.0,1,0.025381639311280187,0.046718550573525426,0.5583500096806395,0.9000073628779273,out/go2w_reg_ablation_5x5/r0.575_w100.0_yaw0.000.csv
0.575,200.0,0.4,0.6956521739130436,0.0,1,0.01987284775033948,0.03867023686377112,0.49637861720910753,0.7355374893148525,out/go2w_reg_ablation_5x5/r0.575_w200.0_yaw0.000.csv
0.575,300.0,0.4,0.6956521739130436,0.0,1,0.020293875750845396,0.037220259543514614,0.5074589030557907,0.7060387712400207,out/go2w_reg_ablation_5x5/r0.575_w300.0_yaw0.000.csv
0.575,400.0,0.4,0.6956521739130436,0.0,1,0.020959589295764493,0.03745729289013799,0.513711867785759,0.7110711514759398,out/go2w_reg_ablation_5x5/r0.575_w400.0_yaw0.000.csv
1.05,0.0,0.4,0.38095238095238093,0.0,1,0.04852311687839707,0.10576966241433308,2.4470541265868597,2.0690066740722513,out/go2w_reg_ablation_5x5/r1.050_w0.0_yaw0.000.csv
1.05,100.0,0.4,0.38095238095238093,0.0,1,0.0629635222229793,0.1238385489204504,3.0044278651474703,2.3861904533825236,out/go2w_reg_ablation_5x5/r1.050_w100.0_yaw0.000.csv
1.05,200.0,0.4,0.38095238095238093,0.0,1,0.05519034256862112,0.08869555257669526,2.3679621375278574,1.7012555723791145,out/go2w_reg_ablation_5x5/r1.050_w200.0_yaw0.000.csv
1.05,300.0,0.4,0.38095238095238093,0.0,1,0.049043425227374655,0.06737344426288434,1.7614934577703154,1.2953363026306866,out/go2w_reg_ablation_5x5/r1.050_w300.0_yaw0.000.csv
1.05,400.0,0.4,0.38095238095238093,0.0,1,0.07046574615582403,0.08431770759565621,1.8837719619379862,1.6185083571503132,out/go2w_reg_ablation_5x5/r1.050_w400.0_yaw0.000.csv
1.525,0.0,0.4,0.26229508196721313,0.0,0,0.03600738080397383,0.12176977486118212,4.891492864894276,2.3836672599761055,out/go2w_reg_ablation_5x5/r1.525_w0.0_yaw0.000.csv
1.525,100.0,0.4,0.26229508196721313,0.0,0,0.06575829076836813,0.11249998460518162,3.5826596609972796,2.168957331002745,out/go2w_reg_ablation_5x5/r1.525_w100.0_yaw0.000.csv
1.525,200.0,0.4,0.26229508196721313,0.0,1,0.06011912103621259,0.09457391919849861,2.84456470151359,1.822974229650018,out/go2w_reg_ablation_5x5/r1.525_w200.0_yaw0.000.csv
1.525,300.0,0.4,0.26229508196721313,0.0,1,0.05763172420212867,0.08986087673470985,2.621222928276952,1.7351191133951263,out/go2w_reg_ablation_5x5/r1.525_w300.0_yaw0.000.csv
1.525,400.0,0.4,0.26229508196721313,0.0,1,0.0501650580033966,0.06720184534835634,2.0307601215633793,1.3114321632310149,out/go2w_reg_ablation_5x5/r1.525_w400.0_yaw0.000.csv
2.0,0.0,0.4,0.2,0.0,0,0.035630482832189,0.10972738581654039,5.331300648421723,2.2154124769425243,out/go2w_reg_ablation_5x5/r2.000_w0.0_yaw0.000.csv
2.0,100.0,0.4,0.2,0.0,0,0.05844580522054923,0.08880321544323828,3.7694165884832618,1.7298820474216483,out/go2w_reg_ablation_5x5/r2.000_w100.0_yaw0.000.csv
2.0,200.0,0.4,0.2,0.0,0,0.05538412811391612,0.07536368701784547,3.0156731800107863,1.4716181789707847,out/go2w_reg_ablation_5x5/r2.000_w200.0_yaw0.000.csv
2.0,300.0,0.4,0.2,0.0,0,0.055487381391741114,0.07121587591091455,2.6319971014971904,1.3883370480270933,out/go2w_reg_ablation_5x5/r2.000_w300.0_yaw0.000.csv
2.0,400.0,0.4,0.2,0.0,0,0.05671024093284609,0.06858422333204234,2.3558038721837913,1.3354528679585589,out/go2w_reg_ablation_5x5/r2.000_w400.0_yaw0.000.csv
