radius,weight,vx,omega,use_vector_glide_cost,pos_err_x,pos_err_y,yaw_err,vel_err_x,vel_err_y,yaw_rate_err,joint_dev_norm
0.0,0.0,2.0,0.0,False,-0.164480144347213,0.5132998608491361,0.3860162191371001,-1.1214186535181054,-0.8743496209670716,-3.384117192932816,113.16624841299702
0.0,1000.0,2.0,0.0,True,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,2000.0,2.0,0.0,True,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,3000.0,2.0,0.0,True,0.0186112139151382,0.1680016745687649,0.2540671968411288,-2.0881397367951737,0.1177605128962354,-1.9788789000412692,112.55362500343188
0.0,4000.0,2.0,,True,0.0186112139151382,-0.1658416434345264,-0.1620984293109844,-0.5070242309348811,-0.6816221036605375,-0.8964729321547009,118.15317303101229
0.0,5000.0,2.0,0.0,True,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,6000.0,2.0,0.0,True,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,7000.0,2.0,0.0,True,-0.2506280089484307,-0.1586527465794401,-0.50766698138067,-3.8448747459866266,-1.977885536834918,4.9326597557110405,109.3908313541948
0.0,8000.0,2.0,0.0,True,-0.2689032400185933,0.0511553251569192,0.9828982035897332,0.3197494016625701,-1.0561797317908082,-4.150499447847137,119.09951510973278
0.0,9000.0,2.0,0.0,True,-0.8807013692865899,-0.0115146760868297,0.6222736910656308,0.0380601805309712,-1.377064249697593,-6.4345825182664615,112.2153870179114
0.0,10000.0,2.0,0.0,True,0.0373459456852247,-0.1873589196791641,0.1386533157174225,-1.297219682520674,0.3489195928116008,-1.0406451517600983,111.47886619029022
0.0,11000.0,2.0,0.0,True,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,12000.0,2.0,0.0,True,-1.0415268024371425,0.3099780068597849,0.3398927143463948,0.8842745855501097,-0.5412843662778831,-1.5502206689260052,112.5207896360976
0.0,13000.0,2.0,0.0,True,-0.0487819512146976,-0.5708355869878875,0.1089331378224587,-0.6196122340546946,-0.3399714064145368,-0.5354566653868857,115.39874969188922
0.0,14000.0,2.0,0.0,True,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,15000.0,2.0,0.0,True,0.1066533818545589,0.4177595764500644,0.7407476922682523,-3.2206894280524025,3.710837138381767,-4.410765312460772,108.60803653199976
0.0,16000.0,2.0,0.0,True,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,17000.0,2.0,0.0,True,-0.7525811918244123,-0.0663145073426862,-0.0721078664788841,-0.9295991083531336,2.368205109695883,-0.433423349881278,114.6344736188719
0.0,18000.0,2.0,0.0,True,-0.1115487796246923,0.0962896488352369,0.217005340422574,0.1440561495030783,-0.1220522375798431,-1.6473926289875354,111.79461918581023
0.0,19000.0,2.0,0.0,True,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,20000.0,2.0,0.0,True,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.375,0.0,2.0,5.333333333333333,False,0.3323534776356506,-0.1437398839543876,-2.614758295053189,-1.6048977145350505,-7.519025242722187,6.179147739865946,107.19058154306728
0.375,1000.0,2.0,5.333333333333333,True,0.6352217636102533,-0.0278491926790191,-0.9891596805477412,0.1213386759037344,3.2156431481227434,-0.0753713189559333,109.98882067176991
0.375,2000.0,2.0,5.333333333333333,True,-0.0982923324645027,0.1847157588477152,-0.4386623094155695,-7.199209746594663,-0.6866451919776958,1.9733947127011708,104.99639536872331
0.375,3000.0,2.0,5.333333333333333,True,0.4876092122545081,-0.1080257121095011,-1.4169238001147957,-0.9566406119131255,0.397298448189216,-0.4246581289035784,118.42467408604358
0.375,4000.0,2.0,5.333333333333333,True,0.4560684685648172,-0.1179079540335847,-0.6961682051191351,-1.0764209974809371,-0.2011049275369495,1.301649771420725,118.30761637464308
0.375,5000.0,2.0,5.333333333333333,True,0.2558643822493767,-0.1463580079645452,-0.2965983747418033,-1.6213173191835994,1.0448300211457855,0.2112710595129447,118.15317303101229
0.375,6000.0,2.0,5.333333333333333,True,0.4764347030873177,-0.0943885259141625,-0.5177063459345188,-1.9572503516486344,-0.8395417164612927,1.7733357581848503,118.82284934059464
0.375,7000.0,2.0,5.333333333333333,True,0.6163712270566636,0.0351314190395867,-0.8889707756765137,0.5637370267094708,-3.955608863126841,5.607908999212506,126.00792136146754
0.375,8000.0,2.0,5.333333333333333,True,0.6135272325358215,0.0153853752745369,-0.5370065499133108,-1.4741088347163749,0.3685011928313966,3.879854922999624,109.3429538896104
0.375,9000.0,2.0,5.333333333333333,True,0.0425280805893306,-0.1176698007888748,-0.7275387920927598,-1.9798076211922544,-1.4997867555885218,2.4706209917776683,127.892138353461
0.375,10000.0,2.0,5.333333333333333,True,0.5979285168057942,-0.0240039086026263,-0.7086448066563982,1.3964280161238167,-2.952347776899532,2.973722792472695,121.97571874277692
0.375,11000.0,2.0,5.333333333333333,True,0.3444597080141019,-0.1226722185423436,-0.4116416984791966,-4.940854981904444,3.0765931197235528,-4.575068029415472,117.81038143904892
0.375,12000.0,2.0,5.333333333333333,True,0.5986481909041599,0.0261385827350991,-0.6440662239337476,-1.6591753541089986,-6.238338883003899,6.990290477307723,120.8494739545633
0.375,13000.0,2.0,5.333333333333333,True,0.393712261316432,-0.1168005562851736,-0.8427518093301494,-5.869478258290683,1.3855423620844722,-10.335491536066016,102.29195207137552
0.375,14000.0,2.0,5.333333333333333,True,0.1454358064224707,-0.1384849939512761,-0.2740219129908054,-3.032355762538348,-2.3787204956746213,-1.1742711560639902,107.28936763858698
0.375,15000.0,2.0,,True,0.0186112139151382,-0.1658416434345264,-0.1620984293109844,-0.5070242309348811,-0.6816221036605375,-0.8964729321547009,113.54910822236836
0.375,16000.0,2.0,5.333333333333333,True,0.5430358399945419,0.5057449915025993,-0.3056639240279759,-1.7542750142502008,-0.9735411311304272,-3.007568340881532,116.72337299277102
0.375,17000.0,2.0,5.333333333333333,True,0.1716262125801315,-0.1142764487391012,-0.8489116820828868,-3.1731269596721376,-8.032787084385232,3.961393625361093,130.04886204699142
0.375,18000.0,2.0,5.333333333333333,True,-0.0538149872459348,0.3551122420730192,1.1555625420310278,-7.793265713747657,-3.592969260076663,-11.528488085589338,119.91256151948964
0.375,19000.0,2.0,5.333333333333333,True,0.6214112780683273,0.3154539659254468,-0.7718162716802448,-0.4446504414728442,1.7119566753287965,-4.58299642582347,120.91870561049636
0.375,20000.0,2.0,5.333333333333333,True,0.3110456147003759,-0.1537004340526816,-0.3560017017611181,-2.1960594331061154,-0.933758524081534,-2.0820853361855884,113.36035850555906
0.75,0.0,2.0,,False,0.0186112139151382,-0.1658416434345264,-0.1620984293109844,-0.5070242309348811,-0.6816221036605375,-0.8964729321547009,113.54910822236836
0.75,1000.0,2.0,2.6666666666666665,True,0.4476976203554463,-0.8020977909698251,-0.0549344082510558,-0.833463587201436,-0.8554865360962115,1.1869884713095795,110.8816623582854
0.75,2000.0,2.0,2.6666666666666665,True,0.3185970898960653,-0.2651541942749882,-0.3459785893563132,0.1201427951251159,-0.8323551940220337,0.2439659055295155,114.22762045851135
0.75,3000.0,2.0,2.6666666666666665,True,0.2815931145898032,-0.2144604238191976,-0.2896866569003218,-0.0780690969533108,-0.6710933663934887,-0.1380686599403757,114.1249117859038
0.75,4000.0,2.0,2.6666666666666665,True,0.2546518765701251,-0.1697404398041182,-0.1761634027583776,-0.6783647466586904,-0.4049729303538794,-1.0973812413773605,114.36192149795907
0.75,5000.0,2.0,2.6666666666666665,True,0.2606620470229243,-0.1906394471165067,-0.2944044023376309,-0.1196907789199741,-0.4829786972764529,-0.0701418516783909,114.25593069049408
0.75,6000.0,2.0,2.6666666666666665,True,0.173197096411211,-1.279762271236085,-0.1703962219585348,-1.9640106480124655,-1.402668281834149,-1.010566698611198,113.87113906887308
0.75,7000.0,2.0,2.6666666666666665,True,0.2796981654833121,-0.1762234277061543,-0.1691730869368792,-0.7274836560308984,-0.5390607028004193,-0.943886839418938,114.0531185000124
0.75,8000.0,2.0,2.6666666666666665,True,0.2040754899020187,-0.1333169670887986,-0.2292078262022396,-0.3440153193933075,-0.3658625275983671,-0.6891286602804143,114.93910094372298
0.75,9000.0,2.0,2.6666666666666665,True,0.184468341854018,-0.1145325742955909,-0.272328175282218,-0.2759690921724786,-0.3055300554627056,-0.4630438753253938,113.7263165736872
0.75,10000.0,2.0,2.6666666666666665,True,0.427047465972654,-0.9152821099299964,-0.1227146747322822,-1.518687626905318,-0.938319003727198,-1.213309577794563,114.51972998051662
0.75,11000.0,2.0,2.6666666666666665,True,0.2851352727815792,-0.2095486018458625,-0.2460704340096509,-0.4083137055156101,-0.5182565828007019,-0.4288687706911038,113.56969057938484
0.75,12000.0,2.0,2.6666666666666665,True,0.1688442712882648,-0.10316540024746,-0.2027291411952174,-0.5070242309348811,-0.3154134429986587,-0.8964729321547009,114.14272623757356
0.75,13000.0,2.0,2.6666666666666665,True,0.1369285983623754,-0.0787795059030991,-0.1757064630517675,-0.8485935616805969,-0.1844411832471579,-1.2848835808097272,113.53703046998916
0.75,14000.0,2.0,2.6666666666666665,True,0.2528763670169295,-0.1734864691517676,-0.227570023649914,-0.4686580232644457,-0.4993919557919044,-0.7119321767742008,114.4263908293018
0.75,15000.0,2.0,2.6666666666666665,True,0.2530659709311343,-0.1798834605850943,-0.1100570210198035,-0.7698920480474596,-0.3641429249134202,-1.7033412967435395,113.89107363461628
0.75,16000.0,2.0,2.6666666666666665,True,0.2469247252246195,-0.1658416434345264,-0.1593503756080472,-0.91642299047381,-0.3741002598695888,-1.3385875605197235,112.52215955228806
0.75,17000.0,2.0,2.6666666666666665,True,0.1373842092554131,-0.0770678118584669,-0.2058564511010505,-0.5925384783674454,-0.105938470006684,-0.9219583643749965,112.45288254876904
0.75,18000.0,2.0,2.6666666666666665,True,0.1799063524685394,-0.1047717888225427,-0.1940688412058051,-0.6553887585759433,-0.3102227147520608,-1.0631345847401283,114.01752851204944
0.75,19000.0,2.0,,True,0.0186112139151382,-0.1658416434345264,-0.1620984293109844,-0.5070242309348811,-0.6816221036605375,-0.8964729321547009,113.54910822236836
0.75,20000.0,2.0,2.6666666666666665,True,0.2195414897622579,-0.1406891087587485,-0.1785662990589402,-0.6148140975788163,-0.4660369393826929,-1.1681282079532649,113.65754942371302
1.125,0.0,2.0,1.7777777777777777,False,-0.155150047299274,-0.937574140460746,-0.3949741049376198,1.4393687840083844,-2.0535805551351958,1.7328925372500397,112.08151277586435
1.125,1000.0,2.0,1.7777777777777777,True,0.0391465382643997,-0.4289041709803475,-0.1332097370092992,1.263461219074511,-1.2457515381055129,-0.8019152703998622,114.24338904892382
1.125,2000.0,2.0,1.7777777777777777,True,-0.3223469524020209,-1.139225123683929,-0.1044222953929221,-1.0680977650470247,-1.6622103867175788,-1.266429357662834,110.96072483646022
1.125,3000.0,2.0,1.7777777777777777,True,0.0162227950940901,-0.5935478916335768,-0.4204720979548195,-0.618999540783741,0.9471323556727828,0.5843737546239618,113.03400911423287
1.125,4000.0,2.0,1.7777777777777777,True,0.0449332059094024,-0.2916065089502333,-0.0176409147028109,-0.1656754639755564,-0.5303411976655901,-1.6974178028628295,111.57120149104122
1.125,5000.0,2.0,,True,0.0186112139151382,-0.1658416434345264,-0.1620984293109844,-0.5070242309348811,-0.6816221036605375,-0.8964729321547009,113.54910822236836
1.125,6000.0,2.0,1.7777777777777777,True,-0.0598760274571679,-0.7749349849851886,-0.2146234539419174,0.967380044024624,-1.954883394768542,-0.4737580816318429,110.951669882631
1.125,7000.0,2.0,1.7777777777777777,True,-0.008431923909591,-0.6593124139201835,-0.1976622723842966,1.033576170361127,-1.6007144015438015,-0.6635186857335984,112.66376481343728
