radius,weight,pos_err_x,pos_err_y,yaw_err,vel_err_x,vel_err_y,yaw_rate_err,joint_dev_norm
0.0,0.0,-0.164480144347213,-0.0278491926790191,0.3860162191371001,-1.1214186535181054,-0.8743496209670716,-3.384117192932816,113.16624841299702
0.0,1000.0,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,2000.0,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,3000.0,0.0186112139151382,-0.1080257121095011,0.2540671968411288,-2.0881397367951737,-0.6816221036605375,-1.9788789000412692,112.55362500343188
0.0,4000.0,0.0186112139151382,-0.1658416434345264,-0.1620984293109844,-0.5070242309348811,-0.6816221036605375,-0.8964729321547009,118.15317303101229
0.0,5000.0,-0.1981376792396851,-0.1179079540335847,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,118.15317303101229
0.0,6000.0,-0.1981376792396851,-0.0943885259141625,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,7000.0,0.4764347030873177,0.0351314190395867,-0.50766698138067,-3.8448747459866266,-0.8395417164612927,4.9326597557110405,109.3908313541948
0.0,8000.0,-0.2689032400185933,0.0511553251569192,-0.5370065499133108,0.3197494016625701,-1.0561797317908082,3.879854922999624,119.09951510973278
0.0,9000.0,-0.8807013692865899,-0.0115146760868297,-0.5370065499133108,0.0380601805309712,-1.377064249697593,2.4706209917776683,112.2153870179114
0.0,10000.0,0.0373459456852247,-0.1873589196791641,0.1386533157174225,-1.297219682520674,0.3489195928116008,-1.0406451517600983,111.47886619029022
0.0,11000.0,-0.1981376792396851,-0.0240039086026263,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,12000.0,0.3444597080141019,0.3099780068597849,0.3398927143463948,0.8842745855501097,-0.5412843662778831,-1.5502206689260052,112.5207896360976
0.0,13000.0,-0.0487819512146976,-0.5708355869878875,0.1089331378224587,-0.6196122340546946,-0.3399714064145368,-1.3472541846349988,115.39874969188922
0.0,14000.0,-0.1981376792396851,-0.1384849939512761,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,15000.0,0.1066533818545589,0.4177595764500644,-0.1620984293109844,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,108.60803653199976
0.0,16000.0,-0.1981376792396851,-0.0663145073426862,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,17000.0,-0.0538149872459348,-0.0663145073426862,-0.0721078664788841,-0.9295991083531336,-0.9735411311304272,-0.433423349881278,114.6344736188719
0.0,18000.0,-0.1115487796246923,0.0962896488352369,0.217005340422574,0.1440561495030783,-0.1220522375798431,-1.6473926289875354,111.79461918581023
0.0,19000.0,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.0,20000.0,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836
0.375,0.0,0.3323534776356506,-0.1437398839543876,-0.0549344082510558,-0.6385451184018713,-0.7262604217092619,-0.8964729321547009,113.16624841299702
0.375,1000.0,-0.03984055927468225,-0.0278491926790191,-0.9891596805477412,0.1213386759037344,-0.7793078078656478,-0.0753713189559333,113.35767831768268
0.375,2000.0,-0.0982923324645027,0.1847157588477152,-0.4386623094155695,-0.6385451184018713,-0.6866451919776958,1.9733947127011708,113.54910822236836
0.375,3000.0,0.4876092122545081,-0.1080257121095011,-0.2329250298293497,-0.9566406119131255,-0.6763577350270131,-0.4246581289035784,113.83701000413609
0.375,4000.0,0.4560684685648172,-0.1179079540335847,-0.2329250298293497,-1.0764209974809371,-0.2011049275369495,1.301649771420725,114.19042123819895
0.375,5000.0,0.2558643822493767,-0.1463580079645452,-0.2965983747418033,-1.6213173191835994,-0.7039412626848998,0.2112710595129447,114.06353487968357
0.375,6000.0,0.4764347030873177,-0.0943885259141625,-0.5177063459345188,-1.9572503516486344,-0.8395417164612927,1.7733357581848503,113.96212878444274
0.375,7000.0,0.6163712270566636,0.0351314190395867,-0.8889707756765137,0.5637370267094708,-0.7829010690852773,-0.8165077498496762,113.96212878444274
0.375,8000.0,0.6135272325358215,0.0153853752745369,-0.5370065499133108,-1.4741088347163749,0.3685011928313966,3.879854922999624,109.3429538896104
0.375,9000.0,0.0425280805893306,-0.1176698007888748,-0.7275387920927598,-1.9798076211922544,-1.4997867555885218,2.4706209917776683,114.12302327710191
0.375,10000.0,0.5979285168057942,-0.0240039086026263,-0.7086448066563982,-0.9678824004612727,-0.6222585022549818,-1.1269773647773307,113.64800357653601
0.375,11000.0,0.3444597080141019,-0.1226722185423436,-0.4116416984791966,-0.5727846746683762,-0.6337723939935724,-0.9685590419573996,113.8562084084792
0.375,12000.0,0.5986481909041599,0.0261385827350991,-0.6440662239337476,-0.629078676228283,-0.32769242470659776,-1.316068882722363,113.5593994008766
0.375,13000.0,0.393712261316432,-0.1168005562851736,-0.8427518093301494,-0.629078676228283,-0.5203381610348937,-1.0353720441093457,113.84591722997095
0.375,14000.0,0.1454358064224707,-0.1384849939512761,-0.2740219129908054,-0.7042185832246655,-0.3520571656639785,-1.1742711560639902,113.54910822236836
0.375,15000.0,0.0186112139151382,-0.1658416434345264,-0.1620984293109844,-0.5070242309348811,-0.6816221036605375,-0.8964729321547009,113.54910822236836
0.375,16000.0,0.5430358399945419,-0.09567213029878405,-0.3056639240279759,-0.8431575192606349,-0.9735411311304272,-1.13027296244736,116.72337299277102
0.375,17000.0,0.1716262125801315,-0.1142764487391012,-0.11572912104346567,-0.7859058745248766,-0.3421614873108248,-1.3429208725773611,113.78331836720889
0.375,18000.0,-0.0538149872459348,-0.07169115960057654,-0.17808363525839474,-0.6155417983846584,-0.21613747616595197,-0.9925464745575624,113.78331836720889
0.375,19000.0,0.6214112780683273,0.3154539659254468,0.016804812981803655,-0.4446504414728442,-0.7039412626848998,-1.3472541846349988,113.54910822236836
0.375,20000.0,0.3110456147003759,-0.1537004340526816,-0.3560017017611181,-0.6148140975788163,-0.6816221036605375,-1.3472541846349988,113.36035850555906
0.75,0.0,0.0186112139151382,-0.1658416434345264,-0.1620984293109844,-0.5070242309348811,-0.6816221036605375,-0.8964729321547009,113.54910822236836
0.75,1000.0,0.4476976203554463,-0.8020977909698251,-0.0549344082510558,-0.833463587201436,-0.8554865360962115,1.1869884713095795,110.8816623582854
0.75,2000.0,0.3185970898960653,-0.2651541942749882,-0.3459785893563132,0.1201427951251159,-0.8323551940220337,0.2439659055295155,114.22762045851135
0.75,3000.0,0.2815931145898032,-0.2144604238191976,-0.2896866569003218,-0.0780690969533108,-0.6710933663934887,-0.1380686599403757,114.1249117859038
0.75,4000.0,0.2546518765701251,-0.1697404398041182,-0.1761634027583776,-0.6783647466586904,-0.4049729303538794,-1.0973812413773605,114.36192149795907
0.75,5000.0,0.2606620470229243,-0.1906394471165067,-0.2944044023376309,-0.1196907789199741,-0.4829786972764529,-0.0701418516783909,114.25593069049408
0.75,6000.0,0.173197096411211,-0.17103253557034034,-0.1703962219585348,-1.9640106480124655,-1.402668281834149,-1.010566698611198,113.87113906887308
0.75,7000.0,0.2796981654833121,-0.1762234277061543,-0.1691730869368792,-0.7274836560308984,-0.5390607028004193,-0.943886839418938,114.0531185000124
0.75,8000.0,0.2040754899020187,-0.1333169670887986,-0.2292078262022396,-0.3440153193933075,-0.3658625275983671,-0.6891286602804143,114.93910094372298
0.75,9000.0,0.184468341854018,-0.1145325742955909,-0.272328175282218,-0.2759690921724786,-0.3055300554627056,-0.4630438753253938,113.7263165736872
0.75,10000.0,0.427047465972654,-0.16611041019410305,-0.1227146747322822,-1.518687626905318,-0.938319003727198,-1.213309577794563,114.51972998051662
0.75,11000.0,0.2851352727815792,-0.2095486018458625,-0.2460704340096509,-0.4083137055156101,-0.5182565828007019,-0.4288687706911038,113.56969057938484
