radius,weight,pos_err_x,pos_err_y,yaw_err,vel_err_x,vel_err_y,yaw_rate_err,joint_dev_norm,pos_err_norm,yaw_err_abs,combined_dev,pos_dev_from_best,yaw_dev_from_best,joint_dev_from_best,combined_dev_from_best
0.0,0.0,-0.164480144347213,-0.0278491926790191,0.3860162191371001,-1.1214186535181054,-0.8743496209670716,-3.384117192932816,113.16624841299702,0.16682114799195322,0.3860162191371001,113.16702972902048,-0.2643377642164708,0.2239177898261157,4.558211880997263,4.571357476970728
0.0,1000.0,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836,0.6812673045684948,0.1957080552745917,113.55132057743008,0.25010839236007076,0.03360962596360731,4.941071690368602,4.947511825579439
0.0,2000.0,-0.1981376792396851,0.6518179196213725,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836,0.6812673045684948,0.1957080552745917,113.55132057743008,0.25010839236007076,0.03360962596360731,4.941071690368602,4.947511825579439
0.0,3000.0,0.0186112139151382,-0.1080257121095011,0.2540671968411288,-2.0881397367951737,-0.6816221036605375,-1.9788789000412688,112.55362500343188,0.1096172055845242,0.2540671968411288,112.5539651344431,-0.32154170662389986,0.09196876753014438,3.945588471432117,3.959736823224197
0.0,4000.0,0.0186112139151382,-0.1658416434345264,-0.1620984293109844,-0.5070242309348811,-0.6816221036605375,-0.8964729321547009,118.15317303101229,0.16688267729294023,0.1620984293109844,118.15340207977549,-0.2642762349154838,0.0,9.545136499012528,9.548794306776236
0.0,5000.0,-0.1981376792396851,-0.1179079540335847,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,118.15317303101229,0.23056631488332,0.1957080552745917,118.15356008078972,-0.20059259732510407,0.03360962596360731,9.545136499012528,9.547303168007193
0.0,6000.0,-0.1981376792396851,-0.0943885259141625,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836,0.21947148734798527,0.1957080552745917,113.54948897935111,-0.2116874248604388,0.03360962596360731,4.941071690368602,4.945718413149246
0.0,7000.0,0.4764347030873177,0.0351314190395867,-0.50766698138067,-3.8448747459866266,-0.8395417164612927,4.9326597557110405,109.3908313541948,0.4777282102928773,0.50766698138067,109.39305249589108,0.04656929808445326,0.3455685520696856,0.7827948221950436,0.8569446057704008
0.0,8000.0,-0.2689032400185933,0.0511553251569192,-0.5370065499133108,0.3197494016625701,-1.0561797317908082,3.879854922999624,119.09951510973278,0.2737258113229502,0.5370065499133108,119.10104030287854,-0.15743310088547385,0.37490812060232637,10.49147857773302,10.499355410080128
0.0,9000.0,-0.8807013692865899,-0.0115146760868297,-0.5370065499133108,0.0380601805309712,-1.377064249697593,2.4706209917776683,112.2153870179114,0.8807766400334758,0.5370065499133108,112.22012844006157,0.4496177278250517,0.37490812060232637,3.6073504859116383,3.6545437099965112
0.0,10000.0,0.0373459456852247,-0.1873589196791641,0.1386533157174225,-1.297219682520674,0.3489195928116008,-1.0406451517600983,111.47886619029022,0.19104471843646245,0.1386533157174225,111.47911611552648,-0.2401141937719616,-0.023445113593561884,2.870829658290461,2.8809490495880516
0.0,11000.0,-0.1981376792396851,-0.0240039086026263,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836,0.1995863912261845,0.1957080552745917,113.54945228606603,-0.23157252098223957,0.03360962596360731,4.941071690368602,4.946609433621531
0.0,12000.0,0.3444597080141019,0.3099780068597849,0.3398927143463948,0.8842745855501097,-0.5412843662778831,-1.5502206689260052,112.5207896360976,0.4633992395137536,0.3398927143463948,112.52225720382336,0.03224032730532955,0.1777942850354104,3.9127531040978454,3.916923167503204
0.0,13000.0,-0.0487819512146976,-0.5708355869878875,0.1089331378224587,-0.6196122340546946,-0.3399714064145368,-1.3472541846349988,115.39874969188922,0.5729161772337374,0.1089331378224587,115.40022326592768,0.14175726502531338,-0.053165291488525696,6.790713159889464,6.792400672096903
0.0,14000.0,-0.1981376792396851,-0.1384849939512761,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836,0.24173670280735882,0.1957080552745917,113.54953419706972,-0.18942220940106524,0.03360962596360731,4.941071690368602,4.944815449512128
0.0,15000.0,0.1066533818545589,0.4177595764500644,-0.1620984293109844,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,108.60803653199976,0.43115891220842406,0.1620984293109844,108.6090133149388,0.0,0.0,0.0,0.0
0.0,16000.0,-0.1981376792396851,-0.0663145073426862,0.1957080552745917,-0.6385451184018713,-0.7262604217092619,-1.3472541846349988,113.54910822236836,0.2089405509196133,0.1957080552745917,113.54946911321004,-0.22221836128881076,0.03360962596360731,4.941071690368602,4.9461803501705575
0.0,17000.0,-0.0538149872459348,-0.0663145073426862,-0.0721078664788841,-0.9295991083531336,-0.9735411311304272,-0.433423349881278,114.6344736188719,0.08540296678911867,0.0721078664788841,114.634528110369,-0.3457559454193054,-0.08999056283210029,6.026437086872136,6.037018257154731
0.0,18000.0,-0.1115487796246923,0.0962896488352369,0.217005340422574,0.1440561495030783,-0.1220522375798431,-1.6473926289875354,111.79461918581023,0.14735951516129323,0.217005340422574,111.7949269199851,-0.28379939704713086,0.0549069111115896,3.1865826538104756,3.199666525783264
