# radius: 0.1
# speed: 0.05
# weight: 280.0
# yaw0: -1.5708
# actual_time: 20.0
# completed: 1
# lin_err_mean: 0.013509246045753645
# yaw_err_mean: 0.02765956124882772
# final_pos_err: 0.09499046897949416
# final_yaw_err: 0.5392311763593227
lin_err,yaw_err
0.05,0.5
0.05769777696564072,0.49973524289971577
0.026046746230833567,0.30769819487049993
0.02315079722623826,0.20484216583378562
0.014524057393023754,0.14881129414368416
0.013655754398617678,0.11851748529906214
0.009886676753213147,0.09758172349607103
0.009803218865156251,0.07340433287567483
0.008832528978937923,0.06824854065598907
0.007576809562995212,0.06471222804126742
0.013916601713225604,0.06325077504987553
0.0175794126214317,0.06943211716453734
0.01880212979913839,0.06980063136901465
0.019706393125534873,0.0682321008584914
0.021287613867895183,0.05864923931765886
0.02033074156446551,0.0500519479197849
0.019574795673728006,0.036531294118860747
0.01978713251667871,0.03380227222475701
0.020552838680269074,0.02978253186198765
0.020942592397166553,0.026754155066049168
0.022018116216661148,0.02283962950815932
0.02243528216305745,0.02211845402808621
0.02297643866118774,0.021473934196548805
0.023311941064800105,0.021425031138602557
0.024047483857942295,0.02083798206783427
0.024085871688361512,0.021791323173127652
0.023553466420377218,0.022534491621043817
0.02279944630011413,0.022771408996647424
0.021949953097461464,0.024110077423048826
0.02153676958528715,0.024724226290764095
0.02124799489402353,0.024290799077753833
0.021013084986667898,0.021058619155862324
0.0211223990021602,0.017345771990479097
0.020556095980832904,0.01485980277481308
0.019401709913434196,0.01653149065636722
0.017974200413385526,0.018025983293874948
0.016957207808729148,0.020333651998961255
0.01606825972675772,0.022424702095380666
0.015358058505524361,0.02408453347065087
0.01442489882648802,0.0250640904575406
0.0134126230343994,0.025362025194236526
0.012211265040859792,0.025802261595572418
0.011234495144005175,0.026468899101997678
0.01032814222337956,0.02648474682683849
0.009606032051511261,0.026018315309984497
0.008719322704762413,0.025144630352395003
0.008043419170293534,0.024442615166583803
0.007809534166507228,0.024591236385421378
0.007487426703959553,0.024645717305189274
0.00712500127576504,0.02424666081277005
0.006603029625057084,0.02416392360823777
0.006314351647327612,0.024313489187483495
0.006049130094285496,0.023746987606733716
0.006047995821425936,0.022768413422501965
0.005847562319013515,0.021316896607488145
0.005701549891109828,0.01979497239459338
0.005906276818859223,0.019011902906014733
0.006139456546601959,0.01845907391069951
0.005992241136331347,0.0185045568714875
0.005418439330427899,0.01877356439150707
0.004836997325980093,0.02026782614538536
0.004582636723081267,0.021296797421462343
0.004465577212551601,0.021744157262678032
0.004567813509420608,0.0216920431618845
0.0047679435877787035,0.021344482384244856
0.004897461826156217,0.02189436045033527
0.004949305270262518,0.022427860836903346
0.0050141814203113625,0.022525919645482007
0.005165689374546423,0.022029505364796254
0.005423281838060621,0.020906942206949608
0.005695842216186931,0.020731273122956806
0.005860656687688911,0.02042503514759192
0.006002228077013515,0.021556085990464657
0.0065016932378498,0.022357251105701137
0.006881742580220892,0.02368555623790719
0.007074653183179835,0.025237614265550545
0.00720853473400062,0.02641605928756824
0.007430164822311332,0.026963661397748362
0.007807355061488744,0.026905542682335803
0.008309851665662974,0.02618287612028858
0.00885871693476833,0.02636774003218556
0.009361157832213612,0.026140521656232485
0.009593839902701008,0.026084637453677006
0.009615665727433997,0.025679616638448644
0.00909367017773272,0.026256574159304047
0.008465919570512829,0.026698932682048482
0.00799986948775318,0.026646743340803913
0.00771030898206711,0.025996646349502106
0.007612906468370822,0.024676123600096855
0.007850437269842988,0.022902163425506605
0.007969994251275076,0.02236137622218115
0.007766009465418642,0.020963132308351562
0.007664805876413517,0.019728260601559522
0.006933834930098634,0.019313900610768153
0.00615015992001539,0.019104427123363243
0.005542211296225997,0.018498973962212173
0.005233584907241294,0.0172485290046418
0.005254792660012694,0.015374530054061253
0.005768665925726292,0.014095027372400537
0.005818789002719046,0.012825535402717636
0.007932186777105762,0.014851617561000119
0.011057394650655184,0.019177779184451627
0.01357145150414583,0.022677634279032965
0.015355261670368676,0.025440872564100547
0.016778623017875458,0.02739249295822993
0.017864763739820037,0.028539143412864343
0.016116015207277738,0.028668785144467357
0.014422486415230935,0.02796967753277929
0.01606824649994764,0.028173692098793446
0.017578370670805376,0.026722257712237962
0.01919518388406303,0.028727874578820478
0.01726995140352114,0.027421484082687797
0.015396770250181643,0.02757294632135887
0.013614640636947336,0.028149639789863956
0.012129519795222863,0.02857489837351962
0.011649274207581519,0.02950425691456854
0.013273404422594719,0.029668360653143266
0.014813134832755242,0.02865369295443493
0.01607026610602423,0.027214179892233237
0.01744641665125279,0.025372168295868358
0.01880640443834424,0.026238394025971223
0.01947698878246861,0.026672338068168655
0.017891235578774436,0.0257290411486108
0.015406318302445796,0.024247259723699344
0.013225197304595664,0.02290496410621473
0.011454733579532816,0.02129449438369868
0.011468509784869626,0.020543122218602605
0.013784957855489688,0.01913844262787112
0.015430277241395058,0.016242733391578335
0.016923253731945132,0.014593567553919495
0.018222483586441723,0.016991920458980292
0.018170753585793595,0.019415608639315463
0.015661302153625302,0.020758213905197165
0.013555972325094983,0.02263645273219944
0.011825454212857781,0.024275146734924147
0.010488188133109595,0.025366246443029317
0.010816815982774317,0.02688098524966759
0.01302414468633645,0.027457976027641662
0.014817656999619773,0.027362932414683405
0.016659110017240325,0.027381111070665987
0.017927554189964386,0.030711571365143964
0.01862830508376441,0.03244007984998887
0.01815290180695897,0.03296770666722065
0.015753521122498032,0.032110566390338546
0.013708361829526118,0.03130959825894791
0.012284645173817022,0.030466850026983017
0.01336691822736549,0.030910718961963624
0.01487149314351985,0.029931108292396036
0.016430232587906643,0.028182286663640366
0.01771930399451183,0.026528174464427845
0.01879030857704602,0.028566424937147172
0.019257586151619877,0.029924225100574853
0.017196899525630343,0.029162176036177545
0.014844903438881235,0.02801835970894917
0.012961387876888586,0.026923986452017545
0.011698615802644264,0.0257907110208056
0.01289852668269382,0.025605350696885187
0.01450310348985098,0.023402144168381545
0.016127680191001848,0.020723057402275202
0.01759196473004436,0.021447923071484742
0.01847845270983988,0.024553400625275168
0.017051083043864216,0.02539546037792162
0.014837525198142604,0.025275622109503737
0.012883876517671183,0.025321580981272074
0.011244419201724622,0.02484795642392712
0.010386804026091627,0.02471602254296551
0.012269997302604122,0.02457812765135614
0.013909968302330405,0.0230068699465536
0.015431512636906168,0.021486237223606208
0.016691075343069975,0.02162544204105271
0.01756918747350074,0.023754970880939585
0.01764362014329284,0.025785807455019072
0.015029554540673663,0.026018118282161773
0.01296993368509573,0.026476409977830295
0.011369593856289698,0.02665764880759136
0.01140751509292045,0.0274373134456401
0.013340365162994394,0.027568783031487576
0.01498643478106889,0.027546594080339437
0.016597997327405387,0.027499247543798677
0.017733682601497963,0.02866082356770938
0.01851870542937778,0.030768498688056478
0.01892754869434206,0.0318113486180005
0.01641124618030645,0.030465397573895547
0.014263794218787368,0.029215810854013924
0.012678579991558765,0.027887886314786725
0.012080234642829101,0.0270589723558482
0.013833894634355316,0.025986492008365725
0.01526035573711114,0.02515113605642577
0.016704203298308355,0.025172387654240902
0.01782229252257901,0.028449052536062003
0.0185168118392086,0.03132780323215051
0.01747318151085528,0.03207712266695001
0.013742498455187503,0.032795641538111486
0.009657350829408332,0.03336543189454505
0.009173535469723796,0.03493160232238568
0.009069426452519777,0.03497070296121496
0.009213649669062294,0.03421298017322749
0.009396965582224347,0.03355488070187507
0.010135702931821646,0.03362925859968657
0.011691286736547745,0.03472624733533586
0.011156730503359465,0.03616869400754785
0.010040891562286415,0.036281287798760053
0.009156732395592102,0.03565890733335436
0.008370093879842784,0.034463542652354406
0.007921927049676966,0.03288739721600109
0.008413681354450985,0.03189011460986724
0.009106249508651555,0.030648674609907056
0.008666937641381347,0.027600950164347604
0.008438531900720527,0.026774743887345243
0.0074786771269976845,0.02720796541205084
0.006315592449634739,0.026981624943930693
0.005029656696736713,0.026425404666740038
0.00470275320508172,0.025654962139198323
0.007182020437816045,0.024510346576774145
0.009773805652548718,0.0232522561737577
0.012530868745942324,0.022496892911569255
0.014589007718595087,0.021972010499745342
0.012829996648200693,0.023497188597904506
0.01148213418801874,0.027820511861282038
0.00966899220181145,0.03024956037739429
0.008105539706436318,0.03105380467598856
0.0071108882856160864,0.0321085424318428
0.006347057875768681,0.033180503160884556
0.006334688701396299,0.03288719802767187
0.00781743020884031,0.032470472058413136
0.010583793531402881,0.03065234413507323
0.010478547736839422,0.032081829781939186
0.010331925119388815,0.03294851163540374
0.009490006464886338,0.035455277597233936
0.00930142991799984,0.0365183544028973
0.009706783661808797,0.0386636754427272
0.00909952458994343,0.03750931264862095
0.009780662589367856,0.03862406241074873
0.009220808108093398,0.038513316279073506
0.008960296799073954,0.03584052815483507
0.009419875460714858,0.032205156323273254
0.009640258140697298,0.03311696761993055
0.009658036717727506,0.033239725996405844
0.008430974361069743,0.03286607089240373
0.006885611525835907,0.03334240199082511
0.005895520374102476,0.032561919246712645
0.005542873473867395,0.029757903077649972
0.005740692476985257,0.030042372370819026
0.005209862647556325,0.026420479833565325
0.004727454565531184,0.02320758928331068
0.004162018752992183,0.02025829125277373
0.004473947328400256,0.017361607355221742
0.007532020074597988,0.019230715433376455
0.010393707607743075,0.022089220821684685
0.012696452542170328,0.023264605999699484
0.012916710935819519,0.024016220270473898
0.011366444327235598,0.02694895560727162
0.009918213088859108,0.028709819197224373
0.008760925025277299,0.029844006841977022
0.008764321571469091,0.030227421902326967
0.008657340584790214,0.030211557722859494
0.008498627613232727,0.03248192406091144
0.008500277285283906,0.03479980765113805
0.00793396295961011,0.036178886674853195
0.008187753735395624,0.03644440553257672
0.01036050522441039,0.03574974220560401
0.010691485796731884,0.035793820913579244
0.009932914016738015,0.03447525748927793
0.010003331660846031,0.033375245254936015
0.009736461003736624,0.032009849498426335
0.009905617290095316,0.0329314269040577
0.010898158918939532,0.03434387393550764
0.010164012181009445,0.03476848147291034
0.009137454438710403,0.03489291439183079
0.008405055695237801,0.034120651965978965
0.007730877783341356,0.032928025753106605
0.007602891879392958,0.030420352862223887
0.007491900946948958,0.028116399363151023
0.007333156996671264,0.02586009578035392
0.006902523245676891,0.02597267981991297
0.0065919356622433384,0.026231340587416885
0.006047975295967713,0.025815821469745315
0.004836049173209587,0.024669107764369147
0.0045953335898661525,0.022753612473140283
0.004264796080033201,0.021475661694321857
0.007204904079869887,0.02066471766383815
0.011040408250588916,0.01982256361940754
0.013180790535590004,0.021952757149098112
0.01146435385069565,0.02460867412559531
0.01080000305600822,0.026540839620511958
0.010130010326606492,0.03015739494051789
0.00949758003675877,0.032304958942675766
0.009230701338621219,0.03350272171968938
0.008914897748820223,0.03409291778524054
0.008498292239947332,0.034353752217916755
0.008816220092579782,0.03386056139760041
0.009253129283683287,0.03278744431343511
0.010345709277761753,0.03261787905680985
0.012008847310704859,0.032611361020773166
0.011561704222711338,0.03213767059137573
0.010874767065891305,0.034152053596942566
0.01021550469066701,0.034661235789069655
0.009319630928311218,0.03493591641641658
0.008935059514643181,0.03367435776717248
0.008634102721980884,0.032306185030010426
0.008565175586055677,0.03046993396128239
0.008560178268652326,0.029189280010365748
0.008870874203878271,0.02766680194769594
0.009053162916872895,0.026970079384804002
0.008362795645578661,0.02633901149013157
0.007864283867673556,0.026753973570626977
0.0070823789778567525,0.02599554579990998
0.00593214725687957,0.02499967846487028
0.005786476280632386,0.023067445428012978
0.005648461966953293,0.020303163779371802
0.005131425784093374,0.018271281406280038
0.005620606386850405,0.019219185766446933
0.00599318882181887,0.0207826429213101
0.005663998793456466,0.022645690318957024
0.009500581384873653,0.026637137200378858
0.01206034372044006,0.029750151527176416
0.010778634333200789,0.031567197735675234
0.010548361888796652,0.032491366627796225
0.01029181517221896,0.032531718718801506
0.01000910005845433,0.03267993151187809
0.010370148793661712,0.03233959009510479
0.010183960893933926,0.032428262163457566
0.011247139835368276,0.03424545711768151
0.011881545577316755,0.03417029116355025
0.011817263785347566,0.03483398667078236
0.011099966109779605,0.03560053628967036
0.010844318194140128,0.035524815459974934
0.010477914759927646,0.034790299357664034
0.010131144327409336,0.033954791866848744
0.010332670455746677,0.03269747027646408
0.01037392189594504,0.03117353753820523
0.01119000833916858,0.03281672056134288
0.010839165578216283,0.031436327979826484
0.010458787925075508,0.02870578126908918
0.009922002141698921,0.03025658912988488
0.009375297927458226,0.029716540263036717
0.008765579991960697,0.0284589768586882
0.007901224402573598,0.027107936567828228
0.007768318050590199,0.024966639111811073
0.007540615703711442,0.02264954114050527
0.006623408700302169,0.021115105848099336
0.006678511564486814,0.021558799423911257
0.006801967889932165,0.020753561263454234
0.006733499374811007,0.021805328634320997
0.006837060611295931,0.022691743626421623
0.007057283027005202,0.024271693175349163
0.006776742578105737,0.02618073703374385
0.0075844764227039965,0.027449749708769122
0.008108679277390856,0.028676451891065713
0.00832006395969027,0.029577920439957217
0.00885646341022735,0.030214932134753958
0.00900357062522344,0.030914815322377664
0.010576383030231895,0.03151665997637382
0.013060865676090916,0.032965358177982684
0.012370622189357245,0.034155135693249794
0.011604333818141434,0.03467198179229336
0.011605450746580292,0.034239767333747506
0.011600109307712733,0.033268284626638334
0.011547486000287892,0.03302950972576807
0.011316632409660564,0.03256669722571287
0.010746238315183156,0.032194827283805405
0.010281031459199619,0.03151332145477287
0.01030709840747787,0.030108166130856095
0.010365261408127584,0.030837492933078803
0.009989277205609642,0.031236617505875974
0.009785618278551265,0.030356719632810725
0.009290458136742364,0.029291737952138186
0.009062643412170553,0.027970525230086196
0.008834325511006413,0.026220402859320313
0.008409434133767766,0.02469349282657568
0.0075076320870457475,0.024719878152317687
0.007738854792814161,0.024943719282973342
0.008127150050621828,0.02533857562044367
0.008030829774872983,0.02640495162267259
0.008313136606996015,0.026041815553206227
0.008443978218253118,0.0249153098342198
0.008162824062956668,0.02416199104330724
0.008385863295679242,0.022711147514704322
0.007792953599020319,0.023856704773408843
0.007477576106138906,0.02545428885146228
0.008230098918518015,0.026620942419291194
0.008799851198826746,0.026883405130568805
0.009408671845671264,0.028622602928336405
0.010278575058014584,0.03074681895645398
0.010450561891606267,0.03213430163894199
0.010503512240594301,0.03240048193217099
0.01109223730920817,0.03237340837651853
0.01115570872827786,0.032108945651929566
0.010758645363511248,0.03257049123796729
0.010670407933027119,0.03241559313145198
0.01141367355483278,0.03782346113803242
0.011194243482626135,0.034098745493515936
0.011732364319403174,0.032899716426221304
0.011738882917178032,0.032239305934889495
0.011328376386491996,0.03170777823290244
0.011395368212587022,0.030658638378511516
0.010949718860757506,0.029665677344323627
0.00997560954078634,0.02921918588210337
0.009620146129326494,0.028155783151638303
0.009252356420002106,0.02749037858082859
0.008793246599697914,0.028225198415720965
0.009478875630921634,0.027685017997804817
0.010073262970324678,0.029287151387734467
0.010053664952341883,0.02966031154647808
